Geographic Area Name,Estimate!!SEX AND AGE!!Total population,Estimate!!SEX AND AGE!!Total population!!Male,Estimate!!SEX AND AGE!!Total population!!Female,Estimate!!SEX AND AGE!!Total population!!Under 5 years,Estimate!!SEX AND AGE!!Total population!!5 to 9 years,Estimate!!SEX AND AGE!!Total population!!10 to 14 years,Estimate!!SEX AND AGE!!Total population!!15 to 19 years,Estimate!!SEX AND AGE!!Total population!!20 to 24 years,Estimate!!SEX AND AGE!!Total population!!25 to 34 years,Estimate!!SEX AND AGE!!Total population!!35 to 44 years,Estimate!!SEX AND AGE!!Total population!!45 to 54 years,Estimate!!SEX AND AGE!!Total population!!55 to 59 years,Estimate!!SEX AND AGE!!Total population!!60 to 64 years,Estimate!!SEX AND AGE!!Total population!!65 to 74 years,Estimate!!SEX AND AGE!!Total population!!75 to 84 years,Estimate!!SEX AND AGE!!Total population!!85 years and over,Estimate!!RACE!!Total population,Estimate!!RACE!!Total population!!One race!!White,Estimate!!RACE!!Total population!!One race!!Black or African American,Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native,Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping,Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping,Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping,Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping,Estimate!!RACE!!Total population!!One race!!Asian,Estimate!!RACE!!Total population!!One race!!Asian!!Asian Indian,Estimate!!RACE!!Total population!!One race!!Asian!!Chinese,Estimate!!RACE!!Total population!!One race!!Asian!!Filipino,Estimate!!RACE!!Total population!!One race!!Asian!!Japanese,Estimate!!RACE!!Total population!!One race!!Asian!!Korean,Estimate!!RACE!!Total population!!One race!!Asian!!Vietnamese,Estimate!!RACE!!Total population!!One race!!Asian!!Other Asian,Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian,Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro,Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan,Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander,Estimate!!RACE!!Total population!!One race!!Some other race,Estimate!!RACE!!Total population!!Two or more races,Estimate!!RACE!!Total population!!Two or more races!!White and Black or African American,Estimate!!RACE!!Total population!!Two or more races!!White and American Indian and Alaska Native,Estimate!!RACE!!Total population!!Two or more races!!White and Asian,Estimate!!RACE!!Total population!!Two or more races!!Black or African American and American Indian and Alaska Native,Estimate!!Race alone or in combination with one or more other races!!Total population,Estimate!!Race alone or in combination with one or more other races!!Total population!!White,Estimate!!Race alone or in combination with one or more other races!!Total population!!Black or African American,Estimate!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native,Estimate!!Race alone or in combination with one or more other races!!Total population!!Asian,Estimate!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander,Estimate!!Race alone or in combination with one or more other races!!Total population!!Some other race,Estimate!!HISPANIC OR LATINO AND RACE!!Total population,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,"Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races",Estimate!!Total housing units,"Estimate!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","Estimate!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","Estimate!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
Illinois,12741080,6266062,6475018,759456,762237,838140,835845,839026,1765517,1644390,1636054,855616,814251,1143329,587651,259568,12741080,9135145,1793079,35846,3055,2651,135,222,717938,256122,132447,124649,17958,56597,35367,94798,5317,1927,789,710,1891,712778,340977,116872,35817,82982,8368,12741080,9431680,1952694,100555,831487,16444,776129,12741080,2208868,1744028,206543,27617,230680,10532212,7760732,1759316,17215,711970,2887,24310,255782,11405,244377,5376176,9074766,4385340,4689426
Iowa,3156145,1564888,1591257,197883,197454,215222,220659,220135,394507,383617,369396,213657,205797,299333,162869,75616,3156145,2846099,115137,11494,603,153,264,1964,79971,12415,13121,5029,1494,6717,11705,29490,3463,541,561,348,2013,30713,69268,30402,9285,13266,1951,3156145,2909568,151562,27116,98900,6579,37007,3156145,191473,155179,7792,1714,26788,2964672,2695583,113562,9710,79643,2945,4000,59229,493,58736,1409568,2327219,1139250,1187969
Missouri,6126452,3003165,3123287,370408,373737,401199,391923,406398,819132,742343,753354,419591,413293,596623,313646,124805,6126452,5035197,704327,27705,8373,462,1210,653,121417,30435,29621,11302,2388,11526,17208,18937,7385,1844,226,2729,2586,56557,173864,75345,39150,29126,4404,6126452,5196815,794984,79954,159166,13760,66685,6126452,253474,179787,16816,8220,48651,5872978,4857174,698641,23149,120440,7095,9832,156647,2330,154317,2806296,4633370,2240784,2392586
Nevada,3034392,1522374,1512018,184539,188880,201625,182398,180376,442713,405128,396167,191059,186387,291996,138844,44280,3034392,1924976,280385,44666,2626,512,2425,857,250137,11123,39196,129739,11514,11750,17744,29071,19612,6472,5668,3528,3944,358786,155830,32463,14754,38991,5393,3034392,2050048,337660,71817,318010,41746,390057,3034392,881145,668365,25740,35071,151969,2153247,1469593,266440,30185,244471,18249,11810,112499,3740,108759,1268717,2075166,1036350,1038816
Pennsylvania,12807060,6271620,6535440,700416,708163,775827,815621,812406,1695073,1496113,1659541,916749,894782,1311159,707570,313640,12807060,10256084,1428406,21418,2569,351,302,447,455027,143539,119817,25128,5056,39144,40920,81423,5008,935,746,766,2561,307572,333545,148313,32795,55627,11223,12807060,10543254,1632035,89728,536235,18764,355417,12807060,974763,158286,477312,24185,314980,11832297,9723288,1352804,14367,450077,3557,21357,266847,11356,255491,5713136,9781212,4726343,5054869
Utah,3161105,1592457,1568648,250194,257110,270952,250173,260774,463344,437953,319031,152425,147852,212206,103828,35263,3161105,2708195,40365,34678,709,0,15970,2265,75898,12079,14285,8034,6208,6756,9663,18873,29362,2090,836,8386,18050,171456,101151,12469,17190,29698,988,3161105,2800377,58241,56454,115638,47609,191869,3161105,450220,313226,12566,2766,121662,2710885,2459891,37546,27959,74784,28810,6356,75539,2925,72614,1108739,2087341,1041497,1045844
West Virginia,1805832,894657,911175,93922,97203,107390,112776,113760,209002,218803,233109,127449,131202,215290,105707,40219,1805832,1679773,68679,2629,N,N,N,N,13459,2331,3893,1994,686,1396,1137,2022,451,N,N,N,N,6430,34411,19582,5340,4574,200,1805832,1712618,89894,9599,19875,2577,8067,1805832,25569,11319,4112,1351,8787,1780263,1661773,68042,2535,13311,451,2286,31865,335,31530,893742,1431158,701390,729768
Colorado,5695564,2864761,2830803,335642,352145,364535,368833,374122,889656,781388,710218,362167,349003,502418,218031,87406,5695564,4790677,237578,55146,4602,590,7270,4219,180277,35512,33422,19141,9912,22998,25088,34204,7585,1994,3276,205,2110,196831,227470,51313,51921,54185,2651,5695564,4997140,311745,126983,254210,19880,237478,5695564,1235127,911881,38288,12183,272775,4460437,3859171,223299,31977,177495,6616,10755,151124,5359,145765,2424128,4151040,2073626,2077414
Georgia,10519475,5120290,5399185,645488,683042,739018,754377,719378,1442243,1401044,1396330,667863,614264,896948,416680,142800,10519475,6127645,3319691,34485,5950,727,502,347,436051,141915,68404,26109,9166,53227,60114,77116,14049,2435,5022,705,5887,301148,286406,115366,29089,47451,11143,10519475,6365137,3487272,92014,509357,26155,348034,10519475,1021754,593262,103647,35052,289793,9497721,5493804,3281137,17359,431551,11618,33630,228622,7548,221074,4326266,7486799,3558929,3927870
Idaho,1754208,882158,872050,113693,123959,129947,127012,115850,228080,219713,201135,111993,103385,168397,81341,29703,1754208,1576846,12075,23026,894,218,974,426,27026,2942,5862,6703,2918,895,3349,4357,2763,1432,791,268,272,59217,53255,6899,14200,11981,243,1754208,1626499,22173,41448,45610,7162,71096,1754208,222464,188003,7281,1015,26165,1531744,1434463,10007,18867,26186,2222,1429,38570,486,38084,735703,1252414,622965,629449
Maryland,6042718,2930350,3112368,361435,364571,385477,379728,384168,826526,775079,822740,418074,393879,546442,276084,108515,6042718,3305047,1810885,13433,1091,101,17,436,378985,99035,89525,49140,6545,45273,28104,61363,7311,N,N,N,N,304042,223015,73892,20984,51972,8612,6042718,3489566,1932303,60221,459537,15994,335682,6042718,628435,108960,60552,13050,445873,5414283,3035148,1782090,9701,376805,2263,25852,182424,10479,171945,2458779,4320150,2055984,2264166
New Jersey,8908520,4350386,4558134,517694,517905,573092,556312,554274,1151093,1147591,1233599,634688,583983,812353,430178,195758,8908520,5956539,1207995,21131,N,N,N,N,868213,387244,153447,120222,12448,99165,19085,76602,2909,N,N,N,N,604334,247399,82074,12437,57486,7193,8908520,6154690,1335579,56649,956049,11641,664813,8908520,1839359,211254,488181,97336,1042588,7069161,4864534,1137645,8921,861223,1777,40261,154800,15034,139766,3628198,6198334,2977776,3220558
New Mexico,2095428,1039641,1055787,118494,127795,151078,142717,138863,279153,256261,239928,136486,136173,221209,106536,40735,2095428,1599938,46064,200659,798,806,124715,622,34155,6608,6222,7927,1518,2490,5779,3611,2465,N,N,N,N,144961,67186,9812,18430,9131,908,2095428,1658939,61079,226911,47195,4997,168030,2095428,1029229,641955,9606,4240,373428,1066199,773039,39940,183944,31807,2030,3662,31777,2491,29286,943232,1507384,735509,771875
Ohio,11689442,5732095,5957347,693129,691126,752239,773272,752641,1533104,1396763,1488201,816288,796516,1152361,595517,248285,11689442,9470940,1446306,25672,6858,622,312,932,271762,95049,59617,18275,11629,17893,17619,51680,4228,828,287,538,2575,112136,358398,182751,47213,51975,13585,11689442,9794421,1674699,104484,345724,13486,141318,11689442,455918,206307,137104,11362,101145,11233524,9182383,1425930,18605,269314,3819,20784,312689,7814,304875,5217617,8863920,4282540,4581380
Alaska,737438,382952,354486,52173,52544,49747,48514,49107,117688,97020,89333,47300,46012,59630,21000,7370,737438,474555,25197,111371,752,962,38,797,46381,1376,2988,28497,749,3484,810,8477,7958,383,1163,4639,1773,9780,62196,5434,29350,8997,2161,737438,529846,36659,149430,63855,14092,13875,737438,53069,28656,8156,1870,14387,684369,443304,24011,107887,45513,7877,895,54882,863,54019,318352,532244,279792,252452
Florida,21299325,10404676,10894649,1135392,1127602,1244592,1234024,1255590,2758515,2586704,2741968,1449290,1406864,2404234,1393550,561000,21299325,15899574,3410741,59870,10006,1459,1277,560,593634,171778,112990,107199,17542,30485,72431,81209,12841,2772,4389,1653,4027,708740,613925,231541,68105,109703,15073,21299325,16428821,3731939,171405,774567,43479,818951,21299325,5562452,736566,1187437,1580886,2057563,15736873,11344261,3252558,41492,580229,9694,81784,426855,23138,403717,9547762,15327815,7371100,7956715
Hawaii,1420491,710702,709789,87437,84434,84576,77860,90595,201025,181541,171390,86295,93871,149372,72022,40073,1420491,345652,28325,3237,865,0,135,123,534479,2249,56584,220315,163174,24804,12213,55140,144971,91442,4363,11237,37929,18052,345775,5159,8601,71631,1038,1420491,600675,53844,30383,807332,383172,45189,1420491,151356,46165,45801,2362,57028,1269135,308375,26978,1976,521237,134876,1321,274372,1266,273106,546261,1016506,513093,503413
Massachusetts,6902149,3350887,3551262,357223,369278,392598,457341,492981,990332,842140,921551,490589,450575,656546,327266,153729,6902149,5335175,537523,16198,N,N,N,N,472403,120063,179716,15409,8933,23561,52771,71950,2775,647,1126,489,513,303331,234744,95685,18960,52189,5855,6902149,5538925,666025,52093,540441,8234,348753,6902149,846780,51415,329713,14621,451031,6055369,4882418,483673,10754,468665,2185,53791,153883,18373,135510,2915043,5035804,2400775,2635029
South Carolina,5084127,2468707,2615420,287356,307540,323598,340480,332798,654355,623363,637009,349353,328521,553062,261920,84772,5084127,3407706,1353599,23672,N,N,N,N,80969,21145,15787,13260,3393,4741,13641,9002,4004,910,961,271,1862,92980,121197,50580,17005,17042,7602,5084127,3511420,1423790,53066,107491,9865,111572,5084127,294502,147935,40888,9358,96321,4789625,3229793,1345077,16553,80638,3685,11601,102278,4395,97883,2318291,3850077,1830316,2019761
District of Columbia,702455,334208,368247,45490,32857,33386,37568,52978,163467,105535,75526,36869,33153,48833,25892,10901,702455,296747,319777,1932,N,N,N,N,27538,6317,8516,3006,1670,3273,1628,3128,397,N,N,N,N,30897,25167,6672,1054,7586,1967,702455,315977,333496,6722,38036,1160,35616,702455,79249,12161,6146,4776,56166,623206,259371,311654,1281,26959,336,3502,20103,1424,18679,319579,526393,245922,280471
