Maine,1338404,655734,682670,63410,67860,72549,77325,73878,159944,153436,180466,105214,108253,163953,77267,34849,1338404,1261453,18954,8566,N,N,N,N,15683,2629,3305,2544,1259,1811,1930,2205,465,N,N,N,N,3264,30019,6727,11857,5967,367,1338404,1289950,27637,22607,23286,1880,5459,1338404,22411,7270,6248,2234,6659,1315993,1245001,18501,8204,15356,89,1315,27527,461,27066,746592,1070661,518367,552294
North Carolina,10383620,5052244,5331376,597192,620626,679947,701383,682328,1382310,1310404,1378087,677844,664925,1013996,495511,179067,10383620,7098569,2222533,120845,14768,813,613,450,306682,104438,53510,20713,8752,22544,28006,68719,10218,1416,4255,1218,3329,326630,298143,113981,44768,44443,20927,10383620,7347405,2398801,205652,376535,24349,358550,10383620,995529,564685,110248,27695,292901,9388091,6505973,2184448,108795,303651,8539,25927,250758,10100,240658,4684962,7629700,3634888,3994812
South Dakota,882235,445271,436964,60427,58765,61566,59836,58791,116300,105167,97263,58813,58949,85022,39575,21761,882235,740870,19057,78068,54,819,259,57592,15023,3533,1107,1473,250,763,930,6967,51,N,N,N,N,5782,23384,5901,11790,2148,574,882235,763432,26781,92049,17534,819,6550,882235,33983,19762,2853,159,11209,848252,718783,18895,74907,14791,51,271,20554,3,20551,397506,647089,323519,323570
Alabama,4887871,2369271,2518600,288589,290369,321430,332209,317810,635976,593480,626173,332700,319472,493396,251025,85242,4887871,3306838,1307040,22063,N,N,N,N,65095,14401,9858,5941,2921,10238,10185,11551,1797,716,352,0,729,84027,101011,28890,30509,16279,6544,4887871,3394273,1349621,62780,89230,5925,93147,4887871,211485,127838,26822,4943,51882,4676386,3192169,1298603,20450,64942,1797,6970,91455,3111,88344,2274711,3712212,1763395,1948817
Indiana,6691878,3295973,3395905,417774,430155,451395,459222,465439,874246,826473,841750,447600,426678,613699,310870,126577,6691878,5539927,637277,14040,1877,253,84,652,154220,43709,33644,14346,5519,9780,10075,37147,3470,996,1047,452,975,162303,180641,81088,24258,27827,3376,6691878,5703463,739547,48290,193559,11281,191174,6691878,472419,359126,37370,4333,71590,6219459,5266285,628603,10560,152940,3249,15103,142719,3977,138742,2903576,4935180,2392487,2542693
Kentucky,4468402,2199021,2269381,273489,279978,285833,288944,300744,579520,553107,575373,304711,295311,435465,217279,78648,4468402,3875023,354761,8470,2926,665,106,110,65300,14340,13302,6224,4806,5148,5819,15661,4943,610,1264,209,2860,51887,108018,55367,13712,14891,2456,4468402,3974518,422416,29444,87095,9563,62137,4468402,161506,85810,15876,14655,45165,4306896,3776055,349542,6878,64830,4003,8661,96927,2713,94214,1995187,3368919,1632285,1736634
Louisiana,4659978,2276530,2383448,301857,297439,317930,308126,308893,645255,589714,567313,303589,299252,434897,211869,73844,4659978,2877115,1509407,25657,N,N,N,N,76255,9858,11547,11479,1172,2534,29392,10273,1133,N,N,N,N,65366,105045,38391,20981,17416,6949,4659978,2966465,1565302,58123,101220,6181,75404,4659978,239954,92142,14472,10555,122785,4420024,2720774,1499008,22714,74845,606,10835,91242,2441,88801,2076136,3459079,1655923,1803156
Tennessee,6770010,3302191,3467819,404439,413172,434765,439465,437346,914783,846438,883961,445131,445713,658560,332775,113462,6770010,5235588,1137801,19136,5325,176,663,92,119046,26391,21534,11865,5158,9488,14882,29728,5494,1178,1657,1193,1466,101153,151792,64359,28229,27614,3996,6770010,5373382,1217973,55944,155876,12962,115232,6770010,372901,217875,37537,11614,105875,6397109,4984848,1123551,15812,118553,4189,15771,134385,3499,130886,2992412,5075166,2427806,2647360
Vermont,626299,308118,318181,28810,32019,33938,42229,43479,75058,70113,80695,47049,49034,75755,34971,13149,626299,589337,7621,1743,N,N,N,N,11859,922,3587,1428,208,1623,427,3664,139,N,N,N,N,2815,12785,2781,4639,2824,261,626299,600494,12187,7315,15706,806,3240,626299,12450,3467,2231,786,5966,613849,579944,7206,1701,11841,139,1143,11875,245,11630,337133,500274,244517,255757
Washington,7535591,3766859,3768732,458194,466487,468155,452515,475177,1153369,1006328,930921,488025,472433,710781,325150,128056,7535591,5633263,291808,97329,3544,1844,782,2214,661781,128356,150344,100877,38846,66990,84125,92243,53924,7135,12067,15187,19535,344853,452633,81176,88978,142017,8886,7535591,6041370,422547,226088,857031,95373,398348,7535591,970353,767821,38591,9015,154926,6565238,5111274,281902,81400,655415,52145,14078,369024,8582,360442,3148084,5355539,2655643,2699896
Michigan,9995915,4926816,5069099,569183,587011,619055,660528,690292,1291353,1165562,1290759,700756,700963,1009186,506974,204293,9995915,7825285,1376751,53012,1306,26133,581,304,325828,117983,60872,26962,13900,27174,21132,57805,3907,822,1143,795,1147,118467,292665,107343,67048,54569,9727,9995915,8092824,1519646,146197,393744,11157,145988,9995915,517381,374225,47412,12648,83096,9478534,7476047,1363183,46417,324358,3290,14443,250796,7156,243640,4614552,7542878,3667806,3875072
Nebraska,1929268,961213,968055,131156,129861,136769,132609,132433,256755,244896,218816,122864,119111,172853,89193,41952,1929268,1666990,91221,18555,128,135,421,4438,45779,8337,5710,4832,1632,3833,7132,14303,1289,N,N,N,N,46473,58961,16280,12906,12326,1412,1929268,1720346,114414,35790,63282,3142,55747,1929268,214483,154073,6331,5997,48082,1714785,1515261,89377,14471,45534,800,2330,47012,333,46679,845011,1380260,679331,700929
New Hampshire,1356458,669442,687016,62857,68935,76872,91832,85214,167822,154965,189718,111581,101506,146599,67733,30824,1356458,1253931,23432,3562,N,N,N,N,36048,9712,8141,2931,744,1870,3361,9289,515,N,N,N,N,9013,29957,9223,6811,8957,146,1356458,1282576,34419,11622,46745,1884,11005,1356458,52648,6926,20193,2570,22959,1303810,1217767,18950,3538,35901,473,1860,25321,674,24647,638112,1069812,525826,543986
Oklahoma,3943079,1950076,1993003,258036,262116,277994,270953,266367,542736,492077,459013,256188,237998,361839,185179,72583,3943079,2845906,287680,307183,120019,225,945,1374,84694,18453,11523,4314,2032,7244,20629,20499,3859,1356,702,728,1073,110013,303744,40451,188314,17661,16338,3943079,3124653,365013,533348,111634,8929,126533,3943079,429079,346720,18222,3427,60710,3514000,2570367,282571,293505,83919,3512,7652,272474,2515,269959,1743073,2852665,1390267,1462398
Oregon,4190713,2079943,2110770,230515,236914,253861,252056,264987,592655,556833,519480,267232,276569,447596,210633,81382,4190713,3514983,82046,49051,3531,955,1246,1727,190680,26182,42189,24144,13293,17743,32447,34682,18758,6114,1538,686,10420,137973,197222,29153,66522,50372,1478,4190713,3697861,122063,124112,257861,33831,165867,4190713,556397,450251,13050,7732,85364,3634316,3147602,77915,41055,188459,17844,6609,154832,4082,150750,1788743,3098171,1518467,1579704
Rhode Island,1057315,515900,541415,54430,56691,55343,74635,75521,146349,123137,140006,73211,75347,103271,52915,26459,1057315,852805,70749,4341,N,N,N,N,36064,8342,8335,1818,903,1538,1916,13212,883,N,N,N,N,59743,32730,11175,4785,7200,1146,1057315,881270,86469,11871,45191,2378,65845,1057315,168341,11379,54342,1275,101345,888974,754990,61691,2772,35378,197,8922,25024,1357,23667,469153,803077,384768,418309
Wisconsin,5813568,2891282,2922286,330651,342754,374768,378566,394807,735765,706676,738357,419486,405255,571672,290056,124755,5813568,4957243,370632,50364,1102,14794,1170,226,165380,33093,26627,8965,4663,8900,6024,77108,1961,683,174,351,753,121475,146513,56368,30616,29021,4123,5813568,5091797,440836,90189,201356,5350,139088,5813568,403833,281850,63932,8344,49707,5409735,4707567,363642,47092,163421,1800,6629,119584,2648,116936,2710718,4401754,2162711,2239043
Wyoming,577737,292619,285118,35395,34937,40645,40744,32880,77254,72405,67487,38002,41431,59467,27832,9258,577737,528453,3667,16185,440,7,1101,1107,5807,435,1863,796,1211,468,40,994,1111,N,N,N,N,8798,13716,4082,5121,2057,217,577737,541280,8296,21867,8317,1347,10603,577737,57895,48755,1187,93,7860,519842,485040,3102,14292,5612,1065,537,10194,0,10194,278615,433644,219788,213856
Puerto Rico,3195153,1520415,1674738,125796,167470,181046,210051,222760,381445,396979,422128,214899,211363,361819,217779,81618,3195153,2079304,400936,4013,N,N,N,N,5144,N,N,N,N,N,N,N,767,N,N,N,N,551773,153216,133079,190,459,2244,3195153,2225568,544587,11722,6884,1245,564119,3195153,3154017,8570,3064018,10875,70554,41136,30793,4372,0,1747,0,3077,1147,0,1147,1553061,2561292,1198296,1362996
Arkansas,3013825,1476680,1537145,188092,192523,203502,208021,199748,392937,367053,370343,196034,187896,296808,154699,56169,3013825,2306096,456714,20951,N,N,N,N,47548,9581,5053,4696,1728,3178,8184,15128,9398,N,N,N,N,84917,88201,25489,37619,8674,1944,3013825,2387735,487767,63583,60225,13359,92978,3013825,230300,160697,9016,2763,57824,2783525,2174167,454521,17615,46681,9278,4612,76651,844,75807,1380521,2224112,1074651,1149461
California,39557045,19673553,19883492,2428493,2398894,2646096,2557470,2710448,6034398,5264457,5068026,2485050,2296376,3286461,1651296,729580,39557045,23535388,2283850,302792,15871,1795,10793,3181,5821585,815948,1617484,1299922,279888,470112,674243,663988,155739,22294,31994,40179,61272,5453229,2004462,280039,293911,603039,32874,39557045,25188735,2788457,799889,6717391,333780,5943787,39557045,15540142,12808944,226738,103868,2400592,24016903,14495479,2179078,139116,5741886,143302,100696,1217346,48539,1168807,14277867,25838830,12693335,13145495
Delaware,967171,467924,499247,54335,51828,62410,59345,59553,127399,112393,122887,68726,67539,107895,54257,18604,967171,659781,217594,4397,N,N,N,N,39023,15566,8521,3507,612,2020,2152,6645,896,N,N,N,N,19652,25828,11461,2097,4456,1401,967171,681901,234961,10015,45175,1338,22505,967171,91975,36782,24471,1592,29130,875196,598105,210908,3397,38860,820,1258,21848,817,21031,438659,720867,343826,377041
Kansas,2911510,1449745,1461765,186990,190475,208695,204915,209009,376422,359447,339683,189925,183758,264050,134355,63786,2911510,2446823,171141,26829,5161,241,685,1378,82444,20564,11675,4505,1746,5136,17089,21729,2929,572,433,138,1786,73293,108051,36107,28238,18669,4034,2911510,2544721,218001,64801,107317,8989,83074,2911510,348443,284470,12793,3858,47322,2563067,2201742,163132,21136,81824,2562,1963,90708,1503,89205,1280553,2091514,1032265,1059249
Minnesota,5611179,2793980,2817199,354932,360713,370367,356388,359550,759541,714967,689680,401080,355327,510486,262775,115373,5611179,4629375,367653,60983,466,37574,971,8043,273126,43596,33553,13188,5126,16431,25404,135828,2396,452,353,214,1377,102814,174832,56190,36730,43417,6154,5611179,4787851,445288,112850,328249,7964,118258,5611179,308013,202331,17477,7259,80946,5303166,4455388,362419,54989,271051,2025,8194,149100,3647,145453,2455637,4106914,2023293,2083621
Mississippi,2986530,1446829,1539701,177761,191591,216172,219044,204679,379027,380696,359664,190823,192650,284356,143707,46360,2986530,1735455,1135599,13234,N,N,N,N,26142,5906,4659,3930,585,978,6038,4046,1372,875,137,167,193,29778,44950,20544,3935,9557,1651,2986530,1776445,1161529,20404,38212,4583,33358,2986530,87126,47586,11726,1745,26069,2899404,1684276,1130353,12675,25819,1179,4320,40782,553,40229,1332631,2240658,1062978,1177680
Montana,1062305,534782,527523,61688,61732,67916,67386,67822,133976,128663,121090,72061,79732,121055,58431,20753,1062305,941438,5056,68013,266,2546,605,3214,8517,822,1501,2771,693,998,831,901,990,N,N,N,N,5828,32463,3046,17810,5716,736,1062305,972128,9491,87853,15317,2773,8847,1062305,41605,27294,2166,1216,10929,1020700,912200,4899,65452,8474,929,980,27766,783,26983,515161,823668,413026,410642
Virginia,8517685,4190738,4326947,502102,514779,534414,564667,579716,1170188,1114566,1115695,574308,529025,779502,390537,148186,8517685,5737580,1631512,22265,4424,650,339,364,555422,153601,78031,80656,10850,73411,68558,90315,5659,1797,1944,673,1245,215743,349504,121605,32915,99220,12431,8517685,6043577,1807434,90683,688297,19169,253957,8517685,812810,173359,106886,20443,512122,7704875,5224295,1597761,18281,550696,4587,20390,288865,6736,282129,3538985,6213686,3015598,3198088
Arizona,7171646,3565129,3606517,434032,441613,488738,477306,489653,979328,882618,852462,430467,436326,727956,398408,132739,7171646,5590505,336340,330599,3945,263,151713,1533,237873,58926,46853,44169,11983,15633,27751,32558,15661,4780,3085,1951,5845,373688,286980,65348,66395,61566,8350,7171646,5838911,432062,424955,322251,32684,429942,7171646,2266342,1978995,62519,17385,207443,4905304,3894250,310388,277800,232105,14177,9960,166624,4760,161864,3035902,5035771,2478560,2557211
Connecticut,3572665,1740533,1832132,181224,191879,224026,242294,239846,447891,424573,494642,260520,252623,343060,182391,87696,3572665,2688136,391552,9507,N,N,N,N,165855,70961,37189,9547,3917,9129,8792,26320,1017,N,N,N,N,195208,121390,45822,13945,19302,3381,3572665,2787851,461513,35881,195312,6283,220518,3572665,589810,56462,298006,11846,223496,2982855,2367636,357164,5105,164859,244,11387,76460,5577,70883,1521123,2614365,1252484,1361881
New York,19542209,9491313,10050896,1139842,1078979,1154737,1202251,1294057,2872898,2433825,2557338,1327824,1268393,1811595,967841,432629,19542209,12375601,3069259,84312,2131,248,375,905,1666113,379439,705047,111456,38853,123507,29751,278060,9424,3087,1044,1563,3730,1689845,647655,202340,50674,140392,17071,19542209,12879039,3396032,207373,1879261,30852,1854260,19542209,3752523,497331,1070071,80474,2104647,15789686,10794347,2789585,45465,1651636,4765,97323,406565,36895,369670,8363847,13770029,6565089,7204940
North Dakota,760077,391222,368855,52175,50804,47274,46455,62590,116734,90872,81517,49436,45787,64047,33947,18439,760077,651687,25896,41270,253,15261,430,13335,13749,3189,791,2763,314,1233,778,4681,339,N,N,N,N,9569,17567,3267,7900,3361,151,760077,668212,29988,50434,18212,1168,11370,760077,27444,17923,4221,260,5040,732633,636952,25541,39559,13642,339,1584,15016,218,14798,377661,567351,291026,276325
Texas,28701845,14250184,14451661,2010781,1984419,2171522,2069341,1988685,4181960,3910623,3550999,1694490,1539426,2174294,1042370,382935,28701845,21099066,3527027,149997,20203,1879,6031,3036,1430857,452598,233097,146320,24311,80649,267996,225886,21463,6038,4615,5748,5062,1709445,763990,203350,141278,148225,21608,28701845,21759347,3827321,351369,1648133,61344,1878367,28701845,11368844,9659802,214765,93713,1400564,17333001,11881257,3409081,70676,1413916,18958,45166,493947,26240,467707,11101498,18502334,9038806,9463528
United States,327167439,161118151,166049288,19646315,19805900,21392922,21445493,21717962,45344674,41498453,41605244,21624541,20662821,30571313,15547953,6303848,327167439,236173020,41617764,2801587,291100,117802,336207,120876,18415198,4161088,4395912,2920160,782776,1468279,1862395,2824588,626054,186996,104219,110606,224233,16253785,11280031,3179968,1886971,2454776,311267,327167439,245860228,46261485,5710410,22137269,1468239,18146776,327167439,59763631,36986661,5791453,2363532,14621985,267403808,197033939,40305870,2180266,18193513,559945,826107,8304168,322263,7981905,138539906,233565291,113302012,120263279
