,State,AGI Top 1 Percent,AGI Top 5 Percent,AGI Top 10 Percent,AGI Top 25 Percent,AGI Top 50 Percent,AGI Top 75 Percent,All Ages SAIPE Poverty Universe,All Ages in Poverty Count,Civilian Labor Force,Employed,Unemployed,Median Household Income,cases,deaths
0,Alabama,18553159,35924229,49537638,76667112,101687773,114405941,4763811,801758,2216627,2130845,85782,49881,26912,785
1,Alaska,2848087,6184956,8915998,14554105,20064361,22927860,720866,80224,352662,329901,22761,74912,751,10
2,Arizona,33609317,63073164,85351788,128616004,168531690,189378565,7013461,990291,3422583,3260518,162065,59079,39298,1228
3,Arkansas,16319991,26475276,34256878,49689104,64088761,71584342,2925473,492306,1353305,1303995,49310,47094,13191,188
4,California,356240355,600859502,772738760,1086299917,1360947743,1497300869,38818530,4972955,19280821,18460725,820096,75250,159098,5202
5,Colorado,37479649,69617571,93359185,138935934,181679584,204043171,5577050,540579,3080661,2983498,97163,71949,29427,1617
6,Connecticut,47379889,74456114,92142733,125039874,155284852,170426876,3468263,358519,1900664,1821891,78773,76366,45349,4210
7,Delaware,4412370,8899481,12464894,19652753,26529258,30056514,940779,114691,481773,463542,18231,65467,10403,424
8,District of Columbia,7442186,13245281,17240750,24153683,30301657,33570901,669029,107806,404739,381703,23036,82533,9818,520
9,Florida,213461301,325886670,401558825,540976844,663846145,726074247,20882673,2854438,10173537,9808656,364881,55433,80101,2992
10,Georgia,57388490,104804525,139242396,203999008,261742257,290481346,10238647,1484439,5080472,4880038,200434,58634,56302,2492
11,Hawaii,6481803,12912656,18065442,28514439,38613296,44050315,1382453,124400,675184,658256,16928,80527,728,17
12,Idaho,7043329,13662436,18722793,28953730,38984622,44308028,1723134,201804,857207,832286,24921,55524,3543,89
13,Illinois,88047538,157346611,207726891,304850658,395935092,442093637,12447296,1509348,6463957,6184805,279152,65063,134866,6608
14,Indiana,27521323,53675233,74168484,116195909,157030083,178430564,6489270,844165,3381609,3263751,117858,55725,41780,2447
15,Iowa,12488315,25114430,35149212,56092713,77294312,88854221,3055988,342574,1690960,1646708,44252,60071,24263,670
16,Kansas,13696092,26199853,35706441,54817452,73365708,83138128,2825674,336892,1477847,1429229,48618,58150,11569,246
17,Kentucky,15254352,30804516,42952236,67620702,91263425,103719767,4326301,723053,2057791,1968611,89180,50189,12899,530
18,Louisiana,18792763,36396221,49866733,76350641,100241514,112100922,4529047,848005,2104497,2001995,102502,48021,47818,3042
19,Maine,5077172,10692933,15056768,23892336,32507652,37139488,1301882,151458,695679,673150,22529,55579,2819,101
20,Maryland,36136729,70837704,98181542,152060724,202499680,227839320,5899814,538824,3221603,3094569,127034,83076,63004,2982
21,Massachusetts,77774616,127550850,162355164,227412810,286859265,317449124,6665106,668402,3785489,3658286,127203,79817,105885,7664
22,Michigan,50208498,93844946,127515398,194799059,258433238,290078466,9774136,1369235,4908714,4705360,203354,56640,66466,6039
23,Minnesota,33783433,63611623,85939203,130489872,174387310,197857181,5488353,527445,3071433,2981153,90280,70295,30913,1344
24,Mississippi,8290744,17304630,24548694,38932555,52006558,58837784,2886375,571402,1269134,1207680,61454,44740,20152,915
25,Missouri,28163355,53131079,72303155,110588585,147135646,166087991,5943697,785343,3053105,2956667,96438,54412,16930,903
26,Montana,4744200,9139061,12461177,19265746,25846198,29239933,1037468,134185,528834,509568,19266,55248,614,19
27,Nebraska,8838903,16946908,23218983,36083323,48838557,55755143,1875315,205393,1023491,993561,29930,59724,17031,236
28,Nevada,23874156,37333048,47218122,66504182,84573854,94348203,2991991,391347,1503683,1436891,66792,58740,11673,467
29,New Hampshire,8956761,16707828,22694489,34638683,46284032,52421534,1312009,100076,762758,743182,19576,75322,5364,326
30,New Jersey,77681603,140320265,185056320,269261777,345542637,382969778,8739317,831386,4432520,4250796,181724,81777,167426,12727
31,New Mexico,6965833,14302259,20204838,31837093,42449792,47876784,2051723,386739,938245,892331,45914,47405,9933,447
32,New York,250365011,377131528,462031203,619086475,760926774,830808771,19037616,2603303,9521869,9127699,394170,67648,389349,30683
33,North Carolina,46091164,90608605,123830258,187648941,245963463,276087066,10100381,1422154,4986138,4787719,198419,53922,46105,1185
34,North Dakota,3604574,7073108,9733582,15307366,20973814,24038632,736622,77959,403583,393199,10384,65250,3127,77
35,Ohio,50436504,99481171,136759826,211894064,285438258,325323706,11362293,1568586,5780747,5521681,259066,56155,42010,2597
36,Oklahoma,16211551,30719528,41653327,63444374,84095597,94931870,3825031,593936,1840609,1777564,63045,51914,8645,363
37,Oregon,20929016,40620618,55579971,85096784,113325285,127898239,4113121,516014,2097202,2012235,84967,63168,6105,182
38,Pennsylvania,72694735,136621454,184125609,277366419,366264333,412054991,12393999,1517936,6423711,6150782,272929,60891,84077,6337
39,Rhode Island,5705938,10891229,14920731,22953319,30559886,34510941,1016444,130538,554554,532478,22076,63787,16164,865
40,South Carolina,20541178,40519282,55763743,85745273,113230459,127499350,4944734,750582,2339939,2259057,80882,52449,19990,607
41,South Dakota,4572180,8316422,11093874,16817058,22572669,25713587,852354,109814,459565,445472,14093,57041,5966,77
42,Tennessee,33032654,60793344,81219315,121020622,158200295,177768712,6603092,1003055,3254261,3139888,114373,52366,31623,487
43,Texas,200671712,340091337,439367608,624949715,790758741,874823715,28074669,4181623,13816690,13285118,531572,60632,95973,2057
44,Utah,15955410,28644423,38145900,57498266,76877969,87217572,3110946,283562,1569969,1522290,47679,71381,15077,145
45,Vermont,2953450,5883104,8166850,12780719,17238224,19630470,601250,64431,345300,336496,8804,60917,1131,55
46,Virginia,48947370,95294396,131722445,202082766,267111487,299491962,8264098,884898,4341153,4209651,131502,72600,55331,1570
47,Washington,56161054,100723679,133493477,196827722,257340470,288919311,7400548,761941,3807013,3637581,169432,74023,27949,1234
48,West Virginia,4482103,10077647,14708262,24382069,33721011,38437287,1753457,305656,785196,744326,40870,44038,2341,88
49,Wisconsin,28215039,53841327,73692520,114778538,155869897,177843906,5665101,626748,3118301,3024747,93554,60779,23328,704
50,Wyoming,5985614,8544166,10478127,14560102,18730918,20896804,563345,60097,291428,280076,11352,62259,1089,18
